,subject,acq_func,min_freq,max_freq,t_start,t_end,n_components,C,kernel,gamma,cv
0,A01,EI,8,13,0.387,3.806,2,1.265094786277367,linear,scale,0.788
1,A01,PI,8,13,0.649,3.607,8,0.12579742103771807,linear,scale,0.882
2,A01,LCB,8,13,0.472,3.647,6,0.4526587962568569,linear,scale,0.878
3,A01,EI,13,30,0.402,3.816,7,0.5784872117655856,linear,scale,0.889
4,A01,PI,13,30,0.54,4.0,6,0.10873648983093796,linear,scale,0.875
5,A01,LCB,13,30,0.448,3.483,6,0.15023102216021347,linear,scale,0.872
6,A02,EI,8,13,0.33,3.041,8,110.99622248636955,rbf,0.0018927689906218922,0.525
7,A02,PI,8,13,0.121,3.054,7,25.786757930900226,rbf,0.014863916655068218,0.514
8,A02,LCB,8,13,0.67,3.077,7,3.295771215637443,linear,scale,0.518
9,A02,EI,13,30,1.047,3.994,7,0.5689906742851647,linear,scale,0.74
10,A02,PI,13,30,1.199,4.0,8,0.7689033775464644,linear,scale,0.74
11,A02,LCB,13,30,1.17,4.0,8,3.2617954414258317,rbf,0.09918015083738,0.74
12,A03,EI,8,13,0.69,2.426,7,0.7434515706556923,linear,scale,0.858
13,A03,PI,8,13,0.548,2.297,8,5.988679945544775,rbf,0.022858793784110255,0.865
14,A03,LCB,8,13,0.438,4.0,5,27.718416343018212,rbf,0.007458880161254821,0.858
15,A03,EI,13,30,0.608,3.768,8,0.39381741783516083,linear,scale,0.91
16,A03,PI,13,30,0.523,4.0,7,0.3308651885306782,linear,scale,0.917
17,A03,LCB,13,30,0.488,4.0,8,46.13245525921594,rbf,0.007225884905523034,0.924
18,A04,EI,8,13,0.003,2.143,7,750.2968580439427,linear,scale,0.524
19,A04,PI,8,13,0.258,1.931,7,10.55401572289909,rbf,0.0025998534580753555,0.525
20,A04,LCB,8,13,0.0,2.209,7,4.620261957770997,linear,scale,0.514
21,A04,EI,13,30,0.466,4.0,8,0.6133792484566613,linear,scale,0.597
22,A04,PI,13,30,0.461,2.958,8,0.7458804955432995,linear,scale,0.594
23,A04,LCB,13,30,0.338,2.751,8,260.05564724302843,rbf,0.0016013292412242796,0.608
24,A05,EI,8,13,1.094,3.999,8,6.497589009458548,rbf,0.015998722383818408,0.441
25,A05,PI,8,13,0.981,4.0,7,8.119999229473834,rbf,0.0899101585316412,0.448
26,A05,LCB,8,13,1.081,4.0,8,6.147253048974934,rbf,0.009234315657420486,0.427
27,A05,EI,13,30,0.601,2.112,4,0.7728484141186804,linear,scale,0.59
28,A05,PI,13,30,0.741,1.976,3,0.36868853115263156,linear,scale,0.587
29,A05,LCB,13,30,0.495,1.966,4,89.0918507265845,linear,scale,0.576
30,A06,EI,8,13,0.561,1.35,6,3.3336687158705764,rbf,0.08482362732705176,0.5
31,A06,PI,8,13,0.486,1.689,5,2.9129035517370583,linear,scale,0.514
32,A06,LCB,8,13,0.183,1.614,6,77.17758607273963,rbf,0.008333271025405124,0.524
33,A06,EI,13,30,0.413,3.677,4,11.107867700594035,rbf,0.015315411755192554,0.58
34,A06,PI,13,30,0.0,3.611,4,32.088628629824576,linear,scale,0.577
35,A06,LCB,13,30,0.325,3.782,6,0.5129868687811232,linear,scale,0.587
36,A07,EI,8,13,0.443,3.996,7,150.9935321373042,rbf,0.0022009001496016197,0.705
37,A07,PI,8,13,0.81,3.821,7,0.9284139143461037,linear,scale,0.701
38,A07,LCB,8,13,0.491,3.82,7,80.46897509514929,rbf,0.020295722723474335,0.701
39,A07,EI,13,30,0.478,3.343,8,4.852923228599881,linear,scale,0.851
40,A07,PI,13,30,0.291,4.0,7,1.7752349921599815,linear,scale,0.851
41,A07,LCB,13,30,0.462,2.95,7,2.4952774629160466,linear,scale,0.854
42,A08,EI,8,13,0.301,3.296,7,602.692690054868,rbf,0.0009031277189221226,0.858
43,A08,PI,8,13,0.4,2.843,7,1.4711997917946784,linear,scale,0.865
44,A08,LCB,8,13,0.418,3.028,8,0.6410441093259595,linear,scale,0.872
45,A08,EI,13,30,0.678,2.233,8,0.9955177842054854,linear,scale,0.76
46,A08,PI,13,30,0.561,2.342,4,2.9450288215796787,linear,scale,0.76
47,A08,LCB,13,30,0.592,3.08,8,18.786172125445113,linear,scale,0.771
48,A09,EI,8,13,0.58,1.584,8,0.10218499742945925,linear,scale,0.889
49,A09,PI,8,13,0.52,1.46,8,12.602689888344285,rbf,0.026578607557939827,0.889
50,A09,LCB,8,13,0.492,1.676,8,6.399620928029259,rbf,0.012519031552529399,0.903
51,A09,EI,13,30,0.558,1.278,6,18.24356314046752,linear,scale,0.826
52,A09,PI,13,30,0.47,1.195,6,1.4188332230738814,linear,scale,0.84
53,A09,LCB,13,30,0.427,2.2,8,56.299442711208904,linear,scale,0.82
